ciclo,modo,pc,ifbit,irr,imr,isr,en_servicio,in_isr,stage,cur_dev,vec,driver_busy,disco_serv,disco_rem,teclado_serv,teclado_rem,disco_cola,teclado_cola,irq,contextos_guardados,es,nest,eoi,pend
310,kernel,0x2100,1,01,00,10,Disco,1,4,Disco,0x21,0,32,4,0,0,0,0,30,30,29,7,29,2
311,kernel,0x2100,1,01,00,10,Disco,1,5,Disco,0x21,0,32,3,0,0,0,0,30,30,29,7,29,2
312,kernel,0x2100,1,01,00,00,-,1,6,Disco,0x21,0,32,3,0,0,0,0,30,30,30,7,30,1
313,usuario,0x584,1,01,00,00,-,1,7,Disco,0x21,0,32,2,0,0,0,0,30,30,30,7,30,1
314,usuario,0x584,1,01,00,00,-,0,0,-,0x0,0,32,2,0,0,0,0,30,30,30,7,30,1
315,kernel,0x588,0,00,00,01,Teclado,1,1,Teclado,0x22,0,32,1,0,0,0,0,31,31,30,7,30,1
316,kernel,0x588,0,00,00,01,Teclado,1,2,Teclado,0x22,0,32,1,0,0,0,0,31,31,30,7,30,1
317,kernel,0x588,0,10,00,01,Teclado,1,3,Teclado,0x22,0,0,0,0,0,0,0,31,31,30,7,30,2
318,kernel,0x2200,1,10,00,01,Teclado,1,4,Teclado,0x22,0,0,0,0,0,0,0,31,31,30,7,30,2
319,kernel,0x2200,0,00,00,11,Disco,1,1,Disco,0x21,0,0,0,0,0,0,0,32,32,30,8,30,2
320,kernel,0x2200,0,00,00,11,Disco,1,2,Disco,0x21,0,0,0,0,0,0,0,32,32,30,8,30,2
321,kernel,0x2200,0,00,00,11,Disco,1,3,Disco,0x21,0,0,0,0,0,0,0,32,32,30,8,30,2
322,kernel,0x2100,1,00,00,11,Disco,1,4,Disco,0x21,0,0,0,0,0,0,0,32,32,30,8,30,2
323,kernel,0x2100,1,00,00,11,Disco,1,5,Disco,0x21,0,0,0,0,0,0,0,32,32,30,8,30,2
324,kernel,0x2100,1,00,00,01,Teclado,1,6,Disco,0x21,0,0,0,0,0,0,0,32,32,31,8,31,1
325,kernel,0x2200,1,00,00,01,Teclado,1,7,Disco,0x21,0,0,0,0,0,0,0,32,32,31,8,31,1
326,kernel,0x2200,1,00,00,01,Teclado,1,4,Teclado,0x22,0,0,0,0,0,0,0,32,32,31,8,31,1
327,kernel,0x2200,1,00,00,01,Teclado,1,5,Teclado,0x22,0,0,0,0,0,0,0,32,32,31,8,31,1
328,kernel,0x2200,1,00,00,00,-,1,6,Teclado,0x22,0,0,0,0,0,0,0,32,32,32,8,32,0
329,usuario,0x588,1,00,00,00,-,1,7,Teclado,0x22,0,0,0,0,0,0,0,32,32,32,8,32,0
330,usuario,0x588,1,00,00,00,-,0,0,-,0x0,0,0,0,0,0,0,0,32,32,32,8,32,0
331,usuario,0x58C,1,00,00,00,-,0,0,-,0x0,4,0,0,0,0,0,1,32,32,32,8,32,0
332,usuario,0x590,1,00,00,00,-,0,0,-,0x0,3,0,0,33,4,0,0,32,32,32,8,32,0
333,usuario,0x594,1,00,00,00,-,0,0,-,0x0,2,0,0,33,3,0,0,32,32,32,8,32,0
334,usuario,0x598,1,00,00,00,-,0,0,-,0x0,4,0,0,33,3,1,0,32,32,32,8,32,0
335,usuario,0x59C,1,00,00,00,-,0,0,-,0x0,3,34,6,33,2,0,0,32,32,32,8,32,0
336,usuario,0x5A0,1,00,00,00,-,0,0,-,0x0,2,34,5,33,2,0,0,32,32,32,8,32,0
